algorithm,scenario,seed,steps,reward_sum,reward_mean,max_util_peak,max_util_mean,mean_util,util_std_mean,jain_fairness_mean,mean_delay_ms,p95_delay_ms,max_delay_ms,loss_ratio_mean,delivered_ratio_mean,dropped_gbit_total,sla_violation_steps,sla_violations_total,priority_sla_success_mean,congested_link_steps,time_above_80pct,time_above_90pct,time_above_100pct,reroutes_total,flaps_total,frr_events_total,disconnected_steps,recovery_steps,path_changes_per_demand,mean_decision_time_ms,invalid_actions
rl,link_failure,101,60,-67.89684781538544,-1.131614130256424,1.6921968895966644,1.1571284494033975,0.17943411787941085,0.25830848821789754,0.3287314771011854,42.60077830756201,73.72169033488187,241.41617227979066,0.04349847688073616,0.9565015231192638,1.5801115155192902,43,230,0.7671751441806465,109,0.9166666666666666,0.8166666666666667,0.6833333333333333,64,40,4,0,30.0,3.764705882352941,0.9066166686049353,0
rl,link_failure,102,60,-83.14759616181176,-1.3857932693635293,1.8424080800796123,1.1772735633753775,0.18501531405220567,0.26284288248529253,0.3335337467360361,45.69952665518867,77.30938823210225,240.6439051947708,0.04870400113057051,0.9512959988694295,1.806117815283517,46,246,0.7433282603002154,119,0.9166666666666666,0.8333333333333334,0.7,64,40,4,0,26.0,3.764705882352941,0.9385766655517122,0
rl,link_failure,103,60,-81.5127639144499,-1.3585460652408317,1.8271993407534433,1.191732366612238,0.1912204069223135,0.2722326192680592,0.3320401536151173,44.81842540473089,76.44193953012278,257.54932188490216,0.051411247101605946,0.9485887528983941,1.9042245886088862,49,243,0.746343864175639,130,0.9833333333333333,0.9166666666666666,0.75,64,38,4,0,25.0,3.764705882352941,0.8318516668320323,0
rl,link_failure,104,60,-66.00939982668177,-1.1001566637780296,1.532792292452472,1.101075876621733,0.19000715896337347,0.26573612857438944,0.3389089064280632,43.83486038617176,74.97027157698572,258.6017611355701,0.03241646648113308,0.967583533518867,1.2177315432986624,45,197,0.7756161156164115,134,0.9166666666666666,0.8333333333333334,0.6333333333333333,64,38,4,0,28.0,3.764705882352941,0.854971669226264,0
rl,link_failure,105,60,-85.79174630671069,-1.4298624384451781,1.637158676883313,1.1848543269600846,0.1944082305463984,0.27552614580746265,0.3340750515765426,47.26883590119562,81.28433200071979,257.89333317231626,0.047167618823526804,0.9528323811764732,1.7494812872518521,47,240,0.7432669264035813,136,0.9833333333333333,0.8666666666666667,0.7666666666666667,64,39,4,0,25.0,3.764705882352941,0.8386233355849981,0
rl,ood_double_failure,101,60,-34.581964262088775,-0.576366071034813,1.1990869596208225,0.8230463829163509,0.12248104282405385,0.18921628367384058,0.2998225567645122,19.284963763710298,30.634692363281548,113.48956921417988,0.1070101177890191,0.892989882210981,2.89997112047842,34,140,0.8458528252196504,22,0.5833333333333334,0.3333333333333333,0.16666666666666666,73,40,13,24,2.0,4.294117647058823,0.8499966643285006,0
rl,ood_double_failure,102,60,-26.681961264228782,-0.44469935440381303,1.1504091783778225,0.8046202315238848,0.1258626407253494,0.18978425843501298,0.3081074875686228,18.512055966382857,28.374156890779602,119.58340473691197,0.10037467219527703,0.8996253278047229,2.7525583261539293,35,131,0.8621831490539302,19,0.4666666666666667,0.26666666666666666,0.11666666666666667,72,39,12,24,0.0,4.235294117647059,0.8953316651362304,0
rl,ood_double_failure,103,60,-34.77156920976297,-0.5795261534960495,1.222135175791233,0.84535501000329,0.12866728482887127,0.19631369721797393,0.30285732338838106,19.642329186564243,31.86303163498919,145.13877324706672,0.1098532392715121,0.8901467607284879,3.096844831073239,32,129,0.8512136552910744,26,0.6,0.3333333333333333,0.13333333333333333,73,39,13,24,0.0,4.294117647058823,0.8580783294746652,0
rl,ood_double_failure,104,60,-53.516959250829096,-0.8919493208471516,1.6061396904583982,0.8752218557570143,0.12955189186707006,0.1958299780876053,0.3075294384743502,22.804375471167017,40.353516755537775,147.04739903880414,0.12478801254695042,0.8752119874530496,3.2901765637220524,36,155,0.8008280937317506,30,0.48333333333333334,0.31666666666666665,0.26666666666666666,72,39,12,24,0.0,4.235294117647059,0.8869733321868504,0
rl,ood_double_failure,105,60,-40.85424751883768,-0.6809041253139614,1.3893833212353013,0.8504160072992091,0.1316912617931523,0.19986085087270172,0.30511475909867314,20.076744694897958,32.62466559105944,141.74944077457116,0.10479373345375913,0.8952062665462409,2.8683748460247696,36,143,0.845847738605005,26,0.5833333333333334,0.35,0.2,73,39,13,24,3.0,4.294117647058823,0.8857999996204551,0
rl,overload_stress,101,48,-176.67280076705603,-3.6806833493136675,2.0274632075959027,1.49179352238367,0.26785828440002607,0.37102071319153734,0.34265476836497233,104.42527191610492,167.15324228577242,375.2,0.17971496257452035,0.8202850374254796,7.682242831642485,48,484,0.3902779511696357,352,1.0,1.0,1.0,48,33,0,0,,2.823529411764706,0.8742895915929694,0
rl,overload_stress,102,48,-158.66633689475296,-3.3055486853073535,2.314188097880407,1.4914827743445631,0.2634555309761059,0.3548688348150937,0.35522401409304694,94.8058359307583,155.3597814512198,375.2,0.160145881565916,0.8398541184340841,7.007186175479744,47,430,0.46112408604249966,325,1.0,0.9791666666666666,0.9791666666666666,48,32,0,0,,2.823529411764706,0.9859249948931392,0
rl,overload_stress,103,48,-175.96418297320443,-3.6659204786084256,2.157507206848924,1.629552217155165,0.2815462119563539,0.3755045945046776,0.3592603803192853,90.2949359483246,141.83368720847864,375.2,0.15561176892716985,0.8443882310728301,6.893528462828988,48,480,0.395324375764819,329,1.0,1.0,1.0,48,35,0,0,,2.823529411764706,0.8727645763428882,0
rl,overload_stress,104,48,-161.92956217842882,-3.373532545383934,2.396574189284173,1.6718536957204977,0.27349055800035804,0.3677929111343243,0.35774965545903276,84.41432803647821,127.52888408217605,314.0,0.16581019657763307,0.834189803422367,7.270859138219419,47,405,0.45034641694983896,278,1.0,1.0,0.9791666666666666,48,31,0,0,,2.823529411764706,0.8922020812557699,0
rl,overload_stress,105,48,-178.42685246600766,-3.7172260930418264,2.293211639379992,1.6199262363374112,0.2830328790378764,0.3857510788228946,0.3506262575198666,102.26574642199735,160.45079687563336,366.42712737266316,0.19447337747653906,0.8055266225234611,8.550199944467025,48,453,0.40893209103852907,341,1.0,1.0,1.0,48,30,0,0,,2.823529411764706,0.8667583351780195,0
