training_root,algorithm,action,count,frequency,is_noop
42,maskable_ppo,0,2883,0.8736363636363637,True
42,maskable_ppo,4,13,0.00393939393939394,False
42,maskable_ppo,7,40,0.012121212121212121,False
42,maskable_ppo,14,40,0.012121212121212121,False
42,maskable_ppo,18,40,0.012121212121212121,False
42,maskable_ppo,23,35,0.010606060606060607,False
42,maskable_ppo,29,5,0.0015151515151515152,False
42,maskable_ppo,34,45,0.013636363636363636,False
42,maskable_ppo,52,35,0.010606060606060607,False
42,maskable_ppo,54,25,0.007575757575757576,False
42,maskable_ppo,55,64,0.019393939393939394,False
42,maskable_ppo,58,35,0.010606060606060607,False
42,maskable_ppo,61,5,0.0015151515151515152,False
42,maskable_ppo,68,35,0.010606060606060607,False
42,masked_bandit,0,2897,0.8778787878787879,True
42,masked_bandit,8,27,0.008181818181818182,False
42,masked_bandit,10,12,0.0036363636363636364,False
42,masked_bandit,12,4,0.0012121212121212121,False
42,masked_bandit,13,17,0.005151515151515152,False
42,masked_bandit,14,49,0.014848484848484849,False
42,masked_bandit,15,9,0.0027272727272727275,False
42,masked_bandit,18,40,0.012121212121212121,False
42,masked_bandit,21,8,0.0024242424242424242,False
42,masked_bandit,23,6,0.0018181818181818182,False
42,masked_bandit,24,8,0.0024242424242424242,False
42,masked_bandit,26,1,0.00030303030303030303,False
42,masked_bandit,29,1,0.00030303030303030303,False
42,masked_bandit,30,2,0.0006060606060606061,False
42,masked_bandit,33,5,0.0015151515151515152,False
42,masked_bandit,38,1,0.00030303030303030303,False
42,masked_bandit,41,12,0.0036363636363636364,False
42,masked_bandit,42,38,0.011515151515151515,False
42,masked_bandit,44,29,0.008787878787878787,False
42,masked_bandit,45,2,0.0006060606060606061,False
42,masked_bandit,47,5,0.0015151515151515152,False
42,masked_bandit,49,2,0.0006060606060606061,False
42,masked_bandit,50,29,0.008787878787878787,False
42,masked_bandit,55,3,0.0009090909090909091,False
42,masked_bandit,56,2,0.0006060606060606061,False
42,masked_bandit,57,3,0.0009090909090909091,False
42,masked_bandit,58,29,0.008787878787878787,False
42,masked_bandit,59,2,0.0006060606060606061,False
42,masked_bandit,62,3,0.0009090909090909091,False
42,masked_bandit,63,15,0.004545454545454545,False
42,masked_bandit,67,4,0.0012121212121212121,False
42,masked_bandit,68,35,0.010606060606060607,False
42,static,0,3235,0.9803030303030303,True
42,static,1,5,0.0015151515151515152,False
42,static,5,5,0.0015151515151515152,False
42,static,9,5,0.0015151515151515152,False
42,static,13,5,0.0015151515151515152,False
42,static,17,10,0.0030303030303030303,False
42,static,25,10,0.0030303030303030303,False
42,static,29,5,0.0015151515151515152,False
42,static,33,5,0.0015151515151515152,False
42,static,53,5,0.0015151515151515152,False
42,static,61,5,0.0015151515151515152,False
42,static,65,5,0.0015151515151515152,False
42,greedy,0,2200,0.6666666666666666,True
42,greedy,5,7,0.0021212121212121214,False
42,greedy,6,12,0.0036363636363636364,False
42,greedy,7,3,0.0009090909090909091,False
42,greedy,8,37,0.011212121212121211,False
42,greedy,12,1,0.00030303030303030303,False
42,greedy,13,72,0.02181818181818182,False
42,greedy,14,104,0.03151515151515152,False
42,greedy,15,22,0.006666666666666667,False
42,greedy,16,9,0.0027272727272727275,False
42,greedy,17,29,0.008787878787878787,False
42,greedy,18,128,0.03878787878787879,False
42,greedy,19,17,0.005151515151515152,False
42,greedy,20,98,0.029696969696969697,False
42,greedy,21,27,0.008181818181818182,False
42,greedy,22,5,0.0015151515151515152,False
42,greedy,23,49,0.014848484848484849,False
42,greedy,26,3,0.0009090909090909091,False
42,greedy,27,9,0.0027272727272727275,False
42,greedy,29,8,0.0024242424242424242,False
42,greedy,30,21,0.006363636363636364,False
42,greedy,31,15,0.004545454545454545,False
42,greedy,32,3,0.0009090909090909091,False
42,greedy,33,5,0.0015151515151515152,False
42,greedy,34,4,0.0012121212121212121,False
42,greedy,35,11,0.0033333333333333335,False
42,greedy,36,12,0.0036363636363636364,False
42,greedy,37,84,0.025454545454545455,False
42,greedy,38,90,0.02727272727272727,False
42,greedy,39,2,0.0006060606060606061,False
42,greedy,45,31,0.009393939393939394,False
42,greedy,46,12,0.0036363636363636364,False
42,greedy,47,7,0.0021212121212121214,False
42,greedy,48,18,0.005454545454545455,False
42,greedy,49,21,0.006363636363636364,False
42,greedy,50,41,0.012424242424242424,False
42,greedy,51,3,0.0009090909090909091,False
42,greedy,52,3,0.0009090909090909091,False
42,greedy,57,28,0.008484848484848486,False
42,greedy,58,42,0.012727272727272728,False
42,greedy,59,2,0.0006060606060606061,False
42,greedy,62,4,0.0012121212121212121,False
42,greedy,63,1,0.00030303030303030303,False
42,cspf,0,3175,0.9621212121212122,True
42,cspf,1,5,0.0015151515151515152,False
42,cspf,13,7,0.0021212121212121214,False
42,cspf,14,2,0.0006060606060606061,False
42,cspf,18,31,0.009393939393939394,False
42,cspf,19,4,0.0012121212121212121,False
42,cspf,25,7,0.0021212121212121214,False
42,cspf,26,5,0.0015151515151515152,False
42,cspf,27,2,0.0006060606060606061,False
42,cspf,28,2,0.0006060606060606061,False
42,cspf,29,6,0.0018181818181818182,False
42,cspf,30,1,0.00030303030303030303,False
42,cspf,33,4,0.0012121212121212121,False
42,cspf,36,4,0.0012121212121212121,False
42,cspf,37,5,0.0015151515151515152,False
42,cspf,39,13,0.00393939393939394,False
42,cspf,50,16,0.0048484848484848485,False
42,cspf,53,4,0.0012121212121212121,False
42,cspf,57,1,0.00030303030303030303,False
42,cspf,59,1,0.00030303030303030303,False
42,cspf,65,5,0.0015151515151515152,False
314159,maskable_ppo,0,3051,0.9245454545454546,True
314159,maskable_ppo,3,5,0.0015151515151515152,False
314159,maskable_ppo,8,40,0.012121212121212121,False
314159,maskable_ppo,12,16,0.0048484848484848485,False
