training_root,algorithm,component,mean,max_abs_episode_sum_error
42,maskable_ppo,delivery,181.9275229213425,5.684341886080802e-14
42,maskable_ppo,protected_disconnect,-25.510204081632654,5.684341886080802e-14
42,maskable_ppo,unprotected_disconnect,-8.403361344537814,5.684341886080802e-14
42,maskable_ppo,sla_severity,-22.79751947720822,5.684341886080802e-14
42,maskable_ppo,max_util,-108.80424407094986,5.684341886080802e-14
42,maskable_ppo,overload,-0.693445181060355,5.684341886080802e-14
42,maskable_ppo,potential,-0.004583155518647193,5.684341886080802e-14
42,maskable_ppo,move_fixed,-0.9531428571428572,5.684341886080802e-14
42,maskable_ppo,move_volume,-0.2000730322395104,5.684341886080802e-14
42,maskable_ppo,move_divergence,-0.893768707482993,5.684341886080802e-14
42,maskable_ppo,reversal,-0.21428571428571427,5.684341886080802e-14
42,maskable_ppo,invalid,0.0,5.684341886080802e-14
42,masked_bandit,delivery,182.5073132772178,5.684341886080802e-14
42,masked_bandit,protected_disconnect,-25.510204081632654,5.684341886080802e-14
42,masked_bandit,unprotected_disconnect,-8.403361344537814,5.684341886080802e-14
42,masked_bandit,sla_severity,-17.434704530414322,5.684341886080802e-14
42,masked_bandit,max_util,-105.46065626705033,5.684341886080802e-14
42,masked_bandit,overload,-0.6359476236877302,5.684341886080802e-14
42,masked_bandit,potential,0.003240689293544167,5.684341886080802e-14
42,masked_bandit,move_fixed,-0.9211428571428572,5.684341886080802e-14
42,masked_bandit,move_volume,-0.1879167102030315,5.684341886080802e-14
42,masked_bandit,move_divergence,-0.9431020408163265,5.684341886080802e-14
42,masked_bandit,reversal,-0.35999999999999993,5.684341886080802e-14
42,masked_bandit,invalid,0.0,5.684341886080802e-14
42,static,delivery,174.59835646899083,8.526512829121202e-14
42,static,protected_disconnect,-25.510204081632654,8.526512829121202e-14
42,static,unprotected_disconnect,-8.403361344537814,8.526512829121202e-14
42,static,sla_severity,-51.998803379386764,8.526512829121202e-14
42,static,max_util,-181.1082481195214,8.526512829121202e-14
42,static,overload,-1.7271996760271784,8.526512829121202e-14
42,static,potential,-0.013901595341680948,8.526512829121202e-14
42,static,move_fixed,-0.14857142857142858,8.526512829121202e-14
42,static,move_volume,-0.032977062189117674,8.526512829121202e-14
42,static,move_divergence,-0.16489795918367345,8.526512829121202e-14
42,static,reversal,0.0,8.526512829121202e-14
42,static,invalid,0.0,8.526512829121202e-14
42,greedy,delivery,181.5829959713964,5.684341886080802e-14
42,greedy,protected_disconnect,-25.510204081632654,5.684341886080802e-14
42,greedy,unprotected_disconnect,-8.403361344537814,5.684341886080802e-14
42,greedy,sla_severity,-20.71417226774191,5.684341886080802e-14
42,greedy,max_util,-109.59857890978238,5.684341886080802e-14
42,greedy,overload,-0.7565635561150219,5.684341886080802e-14
42,greedy,potential,0.0037944543935978696,5.684341886080802e-14
42,greedy,move_fixed,-2.5142857142857147,5.684341886080802e-14
42,greedy,move_volume,-1.34894855458855,5.684341886080802e-14
42,greedy,move_divergence,-2.8280884353741493,5.684341886080802e-14
42,greedy,reversal,-3.445714285714286,5.684341886080802e-14
42,greedy,invalid,0.0,5.684341886080802e-14
42,cspf,delivery,180.1508767519945,1.7053025658242404e-13
42,cspf,protected_disconnect,-25.510204081632654,1.7053025658242404e-13
42,cspf,unprotected_disconnect,-8.403361344537814,1.7053025658242404e-13
42,cspf,sla_severity,-31.41883565643081,1.7053025658242404e-13
42,cspf,max_util,-137.4442596885219,1.7053025658242404e-13
42,cspf,overload,-0.9694691932266976,1.7053025658242404e-13
42,cspf,potential,-0.0021319909746599594,1.7053025658242404e-13
42,cspf,move_fixed,-0.28571428571428575,1.7053025658242404e-13
42,cspf,move_volume,-0.09735282253820988,1.7053025658242404e-13
42,cspf,move_divergence,-0.29346938775510195,1.7053025658242404e-13
42,cspf,reversal,-0.03428571428571429,1.7053025658242404e-13
42,cspf,invalid,0.0,1.7053025658242404e-13
314159,maskable_ppo,delivery,182.10872618246296,5.684341886080802e-14
314159,maskable_ppo,protected_disconnect,-25.510204081632654,5.684341886080802e-14
314159,maskable_ppo,unprotected_disconnect,-8.403361344537814,5.684341886080802e-14
314159,maskable_ppo,sla_severity,-22.282141847900398,5.684341886080802e-14
314159,maskable_ppo,max_util,-107.7587651778701,5.684341886080802e-14
314159,maskable_ppo,overload,-0.6826741221936881,5.684341886080802e-14
314159,maskable_ppo,potential,-0.0019000118789662434,5.684341886080802e-14
314159,maskable_ppo,move_fixed,-0.5691428571428572,5.684341886080802e-14
314159,maskable_ppo,move_volume,-0.1532684097284809,5.684341886080802e-14
314159,maskable_ppo,move_divergence,-0.5883877551020407,5.684341886080802e-14
314159,maskable_ppo,reversal,0.0,5.684341886080802e-14
314159,maskable_ppo,invalid,0.0,5.684341886080802e-14
314159,masked_bandit,delivery,182.84280674220054,1.7053025658242404e-13
314159,masked_bandit,protected_disconnect,-25.510204081632654,1.7053025658242404e-13
314159,masked_bandit,unprotected_disconnect,-8.403361344537814,1.7053025658242404e-13
314159,masked_bandit,sla_severity,-15.11996231969182,1.7053025658242404e-13
314159,masked_bandit,max_util,-101.61514184020527,1.7053025658242404e-13
314159,masked_bandit,overload,-0.5951725084862193,1.7053025658242404e-13
314159,masked_bandit,potential,0.002837701150708526,1.7053025658242404e-13
314159,masked_bandit,move_fixed,-0.710857142857143,1.7053025658242404e-13
314159,masked_bandit,move_volume,-0.19416511414871143,1.7053025658242404e-13
314159,masked_bandit,move_divergence,-0.7252448979591836,1.7053025658242404e-13
314159,masked_bandit,reversal,-0.17142857142857143,1.7053025658242404e-13
314159,masked_bandit,invalid,0.0,1.7053025658242404e-13
314159,static,delivery,174.59835646899083,8.526512829121202e-14
314159,static,protected_disconnect,-25.510204081632654,8.526512829121202e-14
314159,static,unprotected_disconnect,-8.403361344537814,8.526512829121202e-14
314159,static,sla_severity,-51.998803379386764,8.526512829121202e-14
314159,static,max_util,-181.1082481195214,8.526512829121202e-14
314159,static,overload,-1.7271996760271784,8.526512829121202e-14
314159,static,potential,-0.013901595341680948,8.526512829121202e-14
314159,static,move_fixed,-0.14857142857142858,8.526512829121202e-14
314159,static,move_volume,-0.032977062189117674,8.526512829121202e-14
314159,static,move_divergence,-0.16489795918367345,8.526512829121202e-14
314159,static,reversal,0.0,8.526512829121202e-14
314159,static,invalid,0.0,8.526512829121202e-14
314159,greedy,delivery,181.5829959713964,5.684341886080802e-14
314159,greedy,protected_disconnect,-25.510204081632654,5.684341886080802e-14
314159,greedy,unprotected_disconnect,-8.403361344537814,5.684341886080802e-14
314159,greedy,sla_severity,-20.71417226774191,5.684341886080802e-14
314159,greedy,max_util,-109.59857890978238,5.684341886080802e-14
314159,greedy,overload,-0.7565635561150219,5.684341886080802e-14
314159,greedy,potential,0.0037944543935978696,5.684341886080802e-14
314159,greedy,move_fixed,-2.5142857142857147,5.684341886080802e-14
314159,greedy,move_volume,-1.34894855458855,5.684341886080802e-14
314159,greedy,move_divergence,-2.8280884353741493,5.684341886080802e-14
314159,greedy,reversal,-3.445714285714286,5.684341886080802e-14
314159,greedy,invalid,0.0,5.684341886080802e-14
314159,cspf,delivery,180.1508767519945,1.7053025658242404e-13
314159,cspf,protected_disconnect,-25.510204081632654,1.7053025658242404e-13
314159,cspf,unprotected_disconnect,-8.403361344537814,1.7053025658242404e-13
314159,cspf,sla_severity,-31.41883565643081,1.7053025658242404e-13
314159,cspf,max_util,-137.4442596885219,1.7053025658242404e-13
314159,cspf,overload,-0.9694691932266976,1.7053025658242404e-13
314159,cspf,potential,-0.0021319909746599594,1.7053025658242404e-13
314159,cspf,move_fixed,-0.28571428571428575,1.7053025658242404e-13
314159,cspf,move_volume,-0.09735282253820988,1.7053025658242404e-13
314159,cspf,move_divergence,-0.29346938775510195,1.7053025658242404e-13
314159,cspf,reversal,-0.03428571428571429,1.7053025658242404e-13
314159,cspf,invalid,0.0,1.7053025658242404e-13
271828,maskable_ppo,delivery,182.38254821703453,5.684341886080802e-14
271828,maskable_ppo,protected_disconnect,-25.510204081632654,5.684341886080802e-14
271828,maskable_ppo,unprotected_disconnect,-8.403361344537814,5.684341886080802e-14
